Title,Author,My Rating,Average Rating,Number of Pages,Original Publication Year,Date Read,race,of-color,gender,non-male,sexuality,non-straight,international,disabled,overall rating
We the Animals,Justin Torres,4,3.69,128,2011,4/13/20,latinx,1,male,0,gay,1,0,0,2
Carry Me Home,Jessica Therrien,2,4.07,356,2017,4/12/20,white,0,female,1,straight,0,0,0,1
The Way Inn,Will Wiles,4,3.48,352,2014,4/11/20,white,0,male,0,straight,0,1,0,1
The Symposium,Plato,4,4.07,90,-380,,white,0,male,0,straight,0,0,0,0
"All Rights Reserved (Word$, #1)",Gregory Scott Katsoulis,2,3.68,400,2017,4/4/20,white,0,male,0,straight,0,0,0,0
Pretending to Be Erica,Michelle  Painchaud,3,3.72,272,2015,4/3/20,white,0,female,1,straight,0,0,0,1
"Force of Nature (Aaron Falk, #2)",Jane Harper,3,3.85,326,2017,4/3/20,white,0,female,1,straight,0,0,0,1
Feast Your Eyes,Myla Goldberg,4,4.16,336,2019,,white,0,female,1,straight,0,0,0,1
Golden Child,Claire Adam,4,3.47,281,2019,3/31/20,mixed,1,female,1,straight,0,1,0,3
The Never List,Koethi Zan,3,3.61,303,2013,3/29/20,white,0,female,1,straight,0,0,0,1
News of the World,Paulette Jiles,4,4.09,209,2016,3/26/20,white,0,female,1,straight,0,0,0,1
The Unhoneymooners,Christina Lauren,3,4.02,432,2019,,asian,1,female,1,straight,0,0,0,2
"Girl, Woman, Other",Bernardine Evaristo,4,4.36,453,2019,3/26/20,black,1,female,1,straight,0,0,0,2
Hamlet,William Shakespeare,4,4.03,289,1601,,white,0,male,0,straight,0,0,0,0
Gilead,Marilynne Robinson,5,3.83,247,2004,3/15/20,white,0,female,1,straight,0,0,0,1
The Wind in the Willows,Kenneth Grahame,4,3.98,197,1908,3/14/20,white,0,male,0,straight,0,0,0,0
We Are Never Meeting in Real Life.,Samantha Irby,3,3.91,288,2017,3/12/20,black,1,female,1,gay,1,0,0,3
The Alchemist,Paulo Coelho,3,3.89,197,1988,3/12/20,latinx,1,male,0,straight,0,1,0,2
Boy Erased,Garrard Conley,4,3.62,340,2016,3/12/20,white,0,male,0,gay,1,0,0,1
Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,,3.89,272,2018,,asian,1,male,0,straight,0,0,0,1
Difficult Women,Roxane Gay,4,3.98,306,2017,3/9/20,black,1,female,1,bisexual,1,0,0,3
The Shack,William Paul Young,2,3.79,248,2007,3/9/20,white,0,male,0,straight,0,0,0,0
The Last Romantics,Tara Conklin,4,3.73,354,2019,3/6/20,white,0,female,1,straight,0,0,0,1
Yes No Maybe So,Becky Albertalli,3,3.82,464,2020,2/29/20,white,0,female,1,bisexual,1,0,0,2
When All Is Said,Anne  Griffin,3,4.03,326,2019,2/28/20,white,0,female,1,straight,0,0,1,2
"Disquiet, Please!: More Humor Writing from The New Yorker",Henry Finder,4,3.7,544,2008,2/29/20,white,0,male,0,straight,0,0,0,0
